,name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,species,films,vehicles,starships
,,,,,,,,,,,,,
1,Luke Skywalker,172,77,blond,fair,blue,19,male,Tatooine,Human,"c(""Revenge of the Sith"", ""Return of the Jedi"", ""The Empire Strikes Back"", ""A New Hope"", ""The Force Awakens"")","c(""Snowspeeder"", ""Imperial Speeder Bike"")","c(""X-wing"", ""Imperial shuttle"")"
2,C-3PO,167,75,NA,gold,yellow,112,NA,Tatooine,Droid,"c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"", ""Return of the Jedi"", ""The Empire Strikes Back"", ""A New Hope"")",character(0),character(0)
3,R2-D2,96,32,NA,"white, blue",red,33,NA,Naboo,Droid,"c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"", ""Return of the Jedi"", ""The Empire Strikes Back"", ""A New Hope"", ""The Force Awakens"")",character(0),character(0)
4,Darth Vader,202,136,none,white,yellow,41.9,male,Tatooine,Human,"c(""Revenge of the Sith"", ""Return of the Jedi"", ""The Empire Strikes Back"", ""A New Hope"")",character(0),TIE Advanced x1
5,Leia Organa,150,49,brown,light,brown,19,female,Alderaan,Human,"c(""Revenge of the Sith"", ""Return of the Jedi"", ""The Empire Strikes Back"", ""A New Hope"", ""The Force Awakens"")",Imperial Speeder Bike,character(0)
6,Owen Lars,178,120,"brown, grey",light,blue,52,male,Tatooine,Human,"c(""Attack of the Clones"", ""Revenge of the Sith"", ""A New Hope"")",character(0),character(0)
7,Beru Whitesun lars,165,75,brown,light,blue,47,female,Tatooine,Human,"c(""Attack of the Clones"", ""Revenge of the Sith"", ""A New Hope"")",character(0),character(0)
8,R5-D4,97,32,NA,"white, red",red,NA,NA,Tatooine,Droid,A New Hope,character(0),character(0)
9,Biggs Darklighter,183,84,black,light,brown,24,male,Tatooine,Human,A New Hope,character(0),X-wing
10,Obi-Wan Kenobi,182,77,"auburn, white",fair,blue-gray,57,male,Stewjon,Human,"c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"", ""Return of the Jedi"", ""The Empire Strikes Back"", ""A New Hope"")",Tribubble bongo,"c(""Jedi starfighter"", ""Trade Federation cruiser"", ""Naboo star skiff"", ""Jedi Interceptor"", ""Belbullab-22 starfighter"")"
11,Anakin Skywalker,188,84,blond,fair,blue,41.9,male,Tatooine,Human,"c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"")","c(""Zephyr-G swoop bike"", ""XJ-6 airspeeder"")","c(""Trade Federation cruiser"", ""Jedi Interceptor"", ""Naboo fighter"")"
12,Wilhuff Tarkin,180,NA,"auburn, grey",fair,blue,64,male,Eriadu,Human,"c(""Revenge of the Sith"", ""A New Hope"")",character(0),character(0)
13,Chewbacca,228,112,brown,unknown,blue,200,male,Kashyyyk,Wookiee,"c(""Revenge of the Sith"", ""Return of the Jedi"", ""The Empire Strikes Back"", ""A New Hope"", ""The Force Awakens"")",AT-ST,"c(""Millennium Falcon"", ""Imperial shuttle"")"
14,Han Solo,180,80,brown,fair,brown,29,male,Corellia,Human,"c(""Return of the Jedi"", ""The Empire Strikes Back"", ""A New Hope"", ""The Force Awakens"")",character(0),"c(""Millennium Falcon"", ""Imperial shuttle"")"
15,Greedo,173,74,NA,green,black,44,male,Rodia,Rodian,A New Hope,character(0),character(0)
16,Jabba Desilijic Tiure,175,1358,NA,"green-tan, brown",orange,600,hermaphrodite,Nal Hutta,Hutt,"c(""The Phantom Menace"", ""Return of the Jedi"", ""A New Hope"")",character(0),character(0)
17,Wedge Antilles,170,77,brown,fair,hazel,21,male,Corellia,Human,"c(""Return of the Jedi"", ""The Empire Strikes Back"", ""A New Hope"")",Snowspeeder,X-wing
18,Jek Tono Porkins,180,110,brown,fair,blue,NA,male,Bestine IV,Human,A New Hope,character(0),X-wing
19,Yoda,66,17,white,green,brown,896,male,NA,Yoda's species,"c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"", ""Return of the Jedi"", ""The Empire Strikes Back"")",character(0),character(0)
20,Palpatine,170,75,grey,pale,yellow,82,male,Naboo,Human,"c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"", ""Return of the Jedi"", ""The Empire Strikes Back"")",character(0),character(0)
21,Boba Fett,183,78.2,black,fair,brown,31.5,male,Kamino,Human,"c(""Attack of the Clones"", ""Return of the Jedi"", ""The Empire Strikes Back"")",character(0),Slave 1
22,IG-88,200,140,none,metal,red,15,none,NA,Droid,The Empire Strikes Back,character(0),character(0)
23,Bossk,190,113,none,green,red,53,male,Trandosha,Trandoshan,The Empire Strikes Back,character(0),character(0)
24,Lando Calrissian,177,79,black,dark,brown,31,male,Socorro,Human,"c(""Return of the Jedi"", ""The Empire Strikes Back"")",character(0),Millennium Falcon
25,Lobot,175,79,none,light,blue,37,male,Bespin,Human,The Empire Strikes Back,character(0),character(0)
26,Ackbar,180,83,none,brown mottle,orange,41,male,Mon Cala,Mon Calamari,"c(""Return of the Jedi"", ""The Force Awakens"")",character(0),character(0)
27,Mon Mothma,150,NA,auburn,fair,blue,48,female,Chandrila,Human,Return of the Jedi,character(0),character(0)
28,Arvel Crynyd,NA,NA,brown,fair,brown,NA,male,NA,Human,Return of the Jedi,character(0),A-wing
29,Wicket Systri Warrick,88,20,brown,brown,brown,8,male,Endor,Ewok,Return of the Jedi,character(0),character(0)
30,Nien Nunb,160,68,none,grey,black,NA,male,Sullust,Sullustan,Return of the Jedi,character(0),Millennium Falcon
31,Qui-Gon Jinn,193,89,brown,fair,blue,92,male,NA,Human,The Phantom Menace,Tribubble bongo,character(0)
32,Nute Gunray,191,90,none,mottled green,red,NA,male,Cato Neimoidia,Neimodian,"c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"")",character(0),character(0)
33,Finis Valorum,170,NA,blond,fair,blue,91,male,Coruscant,Human,The Phantom Menace,character(0),character(0)
34,Jar Jar Binks,196,66,none,orange,orange,52,male,Naboo,Gungan,"c(""Attack of the Clones"", ""The Phantom Menace"")",character(0),character(0)
35,Roos Tarpals,224,82,none,grey,orange,NA,male,Naboo,Gungan,The Phantom Menace,character(0),character(0)
36,Rugor Nass,206,NA,none,green,orange,NA,male,Naboo,Gungan,The Phantom Menace,character(0),character(0)
37,Ric Oli?,183,NA,brown,fair,blue,NA,male,Naboo,NA,The Phantom Menace,character(0),Naboo Royal Starship
38,Watto,137,NA,black,"blue, grey",yellow,NA,male,Toydaria,Toydarian,"c(""Attack of the Clones"", ""The Phantom Menace"")",character(0),character(0)
39,Sebulba,112,40,none,"grey, red",orange,NA,male,Malastare,Dug,The Phantom Menace,character(0),character(0)
40,Quarsh Panaka,183,NA,black,dark,brown,62,male,Naboo,NA,The Phantom Menace,character(0),character(0)
41,Shmi Skywalker,163,NA,black,fair,brown,72,female,Tatooine,Human,"c(""Attack of the Clones"", ""The Phantom Menace"")",character(0),character(0)
42,Darth Maul,175,80,none,red,yellow,54,male,Dathomir,Zabrak,The Phantom Menace,Sith speeder,Scimitar
43,Bib Fortuna,180,NA,none,pale,pink,NA,male,Ryloth,Twi'lek,Return of the Jedi,character(0),character(0)
44,Ayla Secura,178,55,none,blue,hazel,48,female,Ryloth,Twi'lek,"c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"")",character(0),character(0)
45,Dud Bolt,94,45,none,"blue, grey",yellow,NA,male,Vulpter,Vulptereen,The Phantom Menace,character(0),character(0)
46,Gasgano,122,NA,none,"white, blue",black,NA,male,Troiken,Xexto,The Phantom Menace,character(0),character(0)
47,Ben Quadinaros,163,65,none,"grey, green, yellow",orange,NA,male,Tund,Toong,The Phantom Menace,character(0),character(0)
48,Mace Windu,188,84,none,dark,brown,72,male,Haruun Kal,Human,"c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"")",character(0),character(0)
49,Ki-Adi-Mundi,198,82,white,pale,yellow,92,male,Cerea,Cerean,"c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"")",character(0),character(0)
50,Kit Fisto,196,87,none,green,black,NA,male,Glee Anselm,Nautolan,"c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"")",character(0),character(0)
51,Eeth Koth,171,NA,black,brown,brown,NA,male,Iridonia,Zabrak,"c(""The Phantom Menace"", ""Revenge of the Sith"")",character(0),character(0)
52,Adi Gallia,184,50,none,dark,blue,NA,female,Coruscant,Tholothian,"c(""The Phantom Menace"", ""Revenge of the Sith"")",character(0),character(0)
53,Saesee Tiin,188,NA,none,pale,orange,NA,male,Iktotch,Iktotchi,"c(""The Phantom Menace"", ""Revenge of the Sith"")",character(0),character(0)
54,Yarael Poof,264,NA,none,white,yellow,NA,male,Quermia,Quermian,The Phantom Menace,character(0),character(0)
55,Plo Koon,188,80,none,orange,black,22,male,Dorin,Kel Dor,"c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"")",character(0),Jedi starfighter
56,Mas Amedda,196,NA,none,blue,blue,NA,male,Champala,Chagrian,"c(""Attack of the Clones"", ""The Phantom Menace"")",character(0),character(0)
57,Gregar Typho,185,85,black,dark,brown,NA,male,Naboo,Human,Attack of the Clones,character(0),Naboo fighter
58,Cord?,157,NA,brown,light,brown,NA,female,Naboo,Human,Attack of the Clones,character(0),character(0)
59,Cliegg Lars,183,NA,brown,fair,blue,82,male,Tatooine,Human,Attack of the Clones,character(0),character(0)
60,Poggle the Lesser,183,80,none,green,yellow,NA,male,Geonosis,Geonosian,"c(""Attack of the Clones"", ""Revenge of the Sith"")",character(0),character(0)
61,Luminara Unduli,170,56.2,black,yellow,blue,58,female,Mirial,Mirialan,"c(""Attack of the Clones"", ""Revenge of the Sith"")",character(0),character(0)
62,Barriss Offee,166,50,black,yellow,blue,40,female,Mirial,Mirialan,Attack of the Clones,character(0),character(0)
63,Dorm?,165,NA,brown,light,brown,NA,female,Naboo,Human,Attack of the Clones,character(0),character(0)
64,Dooku,193,80,white,fair,brown,102,male,Serenno,Human,"c(""Attack of the Clones"", ""Revenge of the Sith"")",Flitknot speeder,character(0)
65,Bail Prestor Organa,191,NA,black,tan,brown,67,male,Alderaan,Human,"c(""Attack of the Clones"", ""Revenge of the Sith"")",character(0),character(0)
66,Jango Fett,183,79,black,tan,brown,66,male,Concord Dawn,Human,Attack of the Clones,character(0),character(0)
67,Zam Wesell,168,55,blonde,"fair, green, yellow",yellow,NA,female,Zolan,Clawdite,Attack of the Clones,Koro-2 Exodrive airspeeder,character(0)
68,Dexter Jettster,198,102,none,brown,yellow,NA,male,Ojom,Besalisk,Attack of the Clones,character(0),character(0)
69,Lama Su,229,88,none,grey,black,NA,male,Kamino,Kaminoan,Attack of the Clones,character(0),character(0)
70,Taun We,213,NA,none,grey,black,NA,female,Kamino,Kaminoan,Attack of the Clones,character(0),character(0)
71,Jocasta Nu,167,NA,white,fair,blue,NA,female,Coruscant,Human,Attack of the Clones,character(0),character(0)
72,Ratts Tyerell,79,15,none,"grey, blue",unknown,NA,male,Aleen Minor,Aleena,The Phantom Menace,character(0),character(0)
73,R4-P17,96,NA,none,"silver, red","red, blue",NA,female,NA,NA,"c(""Attack of the Clones"", ""Revenge of the Sith"")",character(0),character(0)
74,Wat Tambor,193,48,none,"green, grey",unknown,NA,male,Skako,Skakoan,Attack of the Clones,character(0),character(0)
75,San Hill,191,NA,none,grey,gold,NA,male,Muunilinst,Muun,Attack of the Clones,character(0),character(0)
76,Shaak Ti,178,57,none,"red, blue, white",black,NA,female,Shili,Togruta,"c(""Attack of the Clones"", ""Revenge of the Sith"")",character(0),character(0)
77,Grievous,216,159,none,"brown, white","green, yellow",NA,male,Kalee,Kaleesh,Revenge of the Sith,Tsmeu-6 personal wheel bike,Belbullab-22 starfighter
78,Tarfful,234,136,brown,brown,blue,NA,male,Kashyyyk,Wookiee,Revenge of the Sith,character(0),character(0)
79,Raymus Antilles,188,79,brown,light,brown,NA,male,Alderaan,Human,"c(""Revenge of the Sith"", ""A New Hope"")",character(0),character(0)
80,Sly Moore,178,48,none,pale,white,NA,female,Umbara,NA,"c(""Attack of the Clones"", ""Revenge of the Sith"")",character(0),character(0)
81,Tion Medon,206,80,none,grey,black,NA,male,Utapau,Pau'an,Revenge of the Sith,character(0),character(0)
82,Finn,NA,NA,black,dark,dark,NA,male,NA,Human,The Force Awakens,character(0),character(0)
83,Rey,NA,NA,brown,light,hazel,NA,female,NA,Human,The Force Awakens,character(0),character(0)
84,Poe Dameron,NA,NA,brown,light,brown,NA,male,NA,Human,The Force Awakens,character(0),T-70 X-wing fighter
85,BB8,NA,NA,none,none,black,NA,none,NA,Droid,The Force Awakens,character(0),character(0)
86,Captain Phasma,NA,NA,unknown,unknown,unknown,NA,female,NA,NA,The Force Awakens,character(0),character(0)
87,Padm? Amidala,165,45,brown,light,brown,46,female,Naboo,Human,"c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"")",character(0),"c(""H-type Nubian yacht"", ""Naboo star skiff"", ""Naboo fighter"")"
